OBJECTID,track,ypx_br,br_power_raw,surf_power_raw,ypx_surf,lat,lon,surf_elevation,region,lrz,fog,segment_id
104,46366,1575,0.000535008,0.240211,1465,-75.3486,181.4169,1879.615479,UL,yes,yes,1.0
105,46366,1575,0.00178184,0.248559,1466,-75.3559,181.411,1877.30481,UL,yes,yes,1.0
106,46366,1575,0.00121692,0.229095,1466,-75.3632,181.4051,1875.314697,UL,yes,yes,1.0
107,49973,1617,0.00142943,0.160783,1470,-75.1072,180.4678,1852.312744,UL,yes,yes,2.0
108,49973,1619,0.00145565,0.163678,1470,-75.0999,180.4624,1851.044556,UL,yes,yes,2.0
109,49973,1621,0.00076266,0.352158,1471,-75.0913,180.456,1850.248657,UL,yes,yes,2.0
110,49973,1622,0.000619076,0.257462,1471,-75.084,180.4505,1849.757568,UL,yes,yes,2.0
111,49973,1624,0.000322867,0.277834,1470,-75.0766,180.445,1850.098022,UL,yes,yes,2.0
112,49973,1625,0.000701386,0.290124,1471,-75.0681,180.4386,1849.01001,UL,yes,yes,2.0
113,49973,1622,0.000747653,0.0969983,1470,-75.0607,180.4331,1848.631348,UL,yes,yes,2.0
114,49973,1623,0.0011244,0.120807,1470,-75.0534,180.4277,1848.388062,UL,yes,yes,2.0
115,49973,1624,0.00131161,0.498989,1470,-75.046,180.4222,1848.993408,UL,yes,yes,2.0
116,49973,1625,0.00064149,0.400746,1469,-75.0375,180.4158,1848.093262,UL,yes,yes,2.0
117,49973,1626,0.000661102,0.284573,1469,-75.0301,180.4103,1848.486816,UL,yes,yes,2.0
118,49973,1627,0.0003047,0.162934,1469,-75.0228,180.4048,1849.190796,UL,yes,yes,2.0
119,49973,1625,0.000938008,0.131147,1469,-75.0155,180.3994,1849.159302,UL,yes,yes,2.0
120,49973,1626,0.00125832,0.0902355,1468,-75.0069,180.393,1848.753906,UL,yes,yes,2.0
121,49973,1625,0.00232055,0.111244,1468,-74.9996,180.3875,1850.568115,UL,yes,yes,2.0
122,49973,1624,0.00160129,0.0669956,1468,-74.9922,180.382,1852.0,UL,yes,yes,2.0
123,49973,1623,0.00112347,0.0935147,1468,-74.9849,180.3765,1851.880493,UL,yes,yes,2.0
124,49973,1624,0.00151103,0.0863798,1468,-74.9763,180.3701,1852.632324,UL,yes,yes,2.0
125,49973,1623,0.00138817,0.13854,1468,-74.969,180.3647,1853.323486,UL,yes,yes,2.0
126,49973,1624,0.00221701,0.0921762,1468,-74.9616,180.3592,1853.405762,UL,yes,yes,2.0
127,49973,1624,0.00164067,0.141873,1468,-74.9531,180.3528,1853.737915,UL,yes,yes,2.0
128,49973,1623,0.00160179,0.120013,1467,-74.9457,180.3473,1854.550659,UL,yes,yes,2.0
129,49973,1625,0.00152866,0.132128,1468,-74.9384,180.3418,1855.254639,UL,yes,yes,2.0
130,49973,1626,0.000448213,0.120678,1467,-74.931,180.3364,1856.484253,UL,yes,yes,2.0
131,7477,1601,0.00125246,0.0147421,1257,-87.1549,183.9368,2951.0,AS,no,yes,3.0
132,7477,1603,0.00404619,0.016614,1258,-87.1563,183.7602,2945.213623,AS,no,yes,3.0
133,7477,1603,0.00258393,0.00338961,1258,-87.1575,183.6088,2937.07251,AS,no,yes,3.0
134,7477,1605,0.00255627,0.00675015,1259,-87.1588,183.4574,2922.774658,AS,no,yes,3.0
135,7477,1603,0.00307771,0.00541515,1262,-87.16,183.3061,2906.208008,AS,no,yes,3.0
136,7477,1609,0.00137848,0.0206721,1262,-87.1614,183.1294,2880.036133,AS,no,yes,3.0
137,7477,1610,0.00108713,0.0105447,1263,-87.1627,182.9781,2846.685303,AS,no,yes,3.0
138,7477,1605,0.00184974,0.0149089,1264,-87.1639,182.8267,2802.981689,AS,no,yes,3.0
139,7477,1607,0.0028384,0.00471876,1268,-87.1653,182.6501,2758.429932,AS,no,yes,3.0
140,7477,1606,0.00447499,0.0211893,1269,-87.1678,182.3473,2751.220459,AS,no,yes,3.0
141,7477,1609,0.00470609,0.0217069,1270,-87.169,182.1959,2776.225586,AS,no,yes,3.0
142,7477,1610,0.00539088,0.0161337,1271,-87.1705,182.0193,2809.784668,AS,no,yes,3.0
143,7477,1610,0.00678089,0.0157295,1274,-87.1729,181.7165,2845.834473,AS,no,yes,3.0
144,7477,1608,0.00513253,0.0185853,1276,-87.1742,181.5651,2861.888428,AS,no,yes,3.0
145,7477,1611,0.00239807,0.00686353,1278,-87.1756,181.3885,2885.876709,AS,no,yes,3.0
146,7477,1609,0.00833577,0.0443673,1279,-87.1768,181.2371,2915.389648,AS,no,yes,3.0
147,7477,1610,0.0129104,0.0556644,1280,-87.178,181.0858,2922.693115,AS,no,yes,3.0
148,7477,1610,0.00313619,0.0137789,1281,-87.1793,180.9344,2917.335205,AS,no,yes,3.0
149,22826,1546,0.000240012,0.00241304,1396,-86.8276,184.026,2384.103027,AS,no,yes,4.0
150,22826,1553,0.000228226,0.00258238,1397,-86.8315,183.9101,2399.747314,AS,no,yes,4.0
151,22826,1556,0.000726031,0.00128881,1391,-86.8354,183.7942,2408.371826,AS,no,yes,4.0
152,22826,1563,0.000857316,0.00204308,1393,-86.8399,183.659,2417.501953,AS,no,yes,4.0
153,22826,1560,0.00067113,0.00182277,1389,-86.8438,183.5431,2427.640137,AS,no,yes,4.0
